dropped,blocks,est
qwen/qwen3-30b-a3b-instruct-2507,1102,-3.78231406284116
qwen/qwen3.5-9b,1043,-3.65698723105444
openai/gpt-oss-120b,1104,-3.55000150134292
qwen/qwen3-32b,1062,-3.50109227007148
mistralai/mistral-small-3.2-24b-instruct,1049,-3.46346359733623
qwen/qwen3-14b,1077,-3.41461001932769
openai/gpt-4o,1095,-3.41271995781163
google/gemma-4-31b-it,1140,-3.32185086913677
qwen/qwen3-235b-a22b-2507,1077,-3.24088047082583
deepseek/deepseek-chat-v3-0324,1079,-3.19583203702898
google/gemma-3-27b-it,1133,-3.17504559354156
openai/gpt-4o-mini,1091,-3.06427090978094
qwen/qwen3.7-flash,1042,-3.04843744097019
deepseek/deepseek-v4-flash,1077,-2.95113430934632
openai/gpt-oss-20b,1069,-1.95989685852646
